layer,metric,mean,std,n,ci_lower,ci_upper,se,category,source_file
0,cosine_dist,0.4305159397125244,0.2526746394314313,1000,0.41485529108162966,0.4461765883434191,0.007990273675651156,neologism,
1,cosine_dist,0.5519711897298694,0.2322173050649174,1000,0.5375784765204304,0.5663639029393083,0.007343355961112937,neologism,
2,cosine_dist,0.5995125322155654,0.1752661546646552,1000,0.5886496230163378,0.610375441414793,0.005542402454796551,neologism,
3,cosine_dist,0.6991556171842385,0.1698133938230664,1000,0.688630667393207,0.7096805669752699,0.00536997101684058,neologism,
4,cosine_dist,0.5867816661112011,0.1661206612029612,1000,0.5764855900535266,0.5970777421688755,0.005253196558145243,neologism,
5,cosine_dist,0.7048245798037387,0.1519117569750023,1000,0.6954091645715623,0.7142399950359151,0.004803871553989778,neologism,
6,cosine_dist,0.5860193443484605,0.143043935597349,1000,0.5771535522800074,0.5948851364169135,0.004523446419620611,neologism,
7,cosine_dist,0.6363913303501904,0.1334303424153859,1000,0.628121384011415,0.6446612766889657,0.004219437910087922,neologism,
8,cosine_dist,0.6026809172816574,0.124990372864401,1000,0.5949340760629324,0.6104277585003824,0.003952542638452113,neologism,
9,cosine_dist,0.6491024171342142,0.1396470910970793,1000,0.640447159800439,0.6577576744679895,0.0044160287648379246,neologism,
10,cosine_dist,0.4972228685319423,0.1350479972719787,1000,0.48885266074875705,0.5055930763151275,0.004270592648236584,neologism,
11,cosine_dist,0.6399605480656028,0.155054757639898,1000,0.6303503312135631,0.6495707649176424,0.004903261961874719,neologism,
12,cosine_dist,0.6169893104434013,0.1587018009181972,1000,0.6071530516607128,0.6268255692260899,0.005018591596721046,neologism,
13,cosine_dist,0.6327640598826111,0.1681579447361521,1000,0.6223417140036098,0.6431864057616123,0.005317621120189627,neologism,
14,cosine_dist,0.6573438627272844,0.172077860383652,1000,0.6466785624237459,0.6680091630308229,0.005441579737007961,neologism,
15,cosine_dist,0.4726506030634045,0.1616646184977355,1000,0.4626307103189736,0.4826704958078354,0.005112284115150328,neologism,
16,cosine_dist,0.3533689482957124,0.1669663911166482,1000,0.3430204543181205,0.3637174422733043,0.005279940886271128,neologism,
17,cosine_dist,0.3497422283291816,0.1336190721925185,1000,0.34146058461257484,0.3580238720457884,0.004225406069668272,neologism,
18,cosine_dist,0.4171230547353625,0.1529387582815286,1000,0.40764398647239053,0.42660212299833444,0.004836348186875695,neologism,
19,cosine_dist,0.3618312613368034,0.1491021019158824,1000,0.3525899871294401,0.37107253554416664,0.0047150224597274385,neologism,
20,cosine_dist,0.4065372017547488,0.1548664687159111,1000,0.3969386549566816,0.41613574855281593,0.004897307743294908,neologism,
21,cosine_dist,0.3759080525040627,0.142409700979248,1000,0.36708156998217106,0.3847345350259543,0.004503390159979349,neologism,
22,cosine_dist,0.3321751248240471,0.1620275838787114,1000,0.3221327356656135,0.3422175139824807,0.005123762088307074,neologism,
23,cosine_dist,0.407227075079456,0.1857004675446291,1000,0.39571745235137645,0.41873669780753553,0.005872364399992038,neologism,
24,cosine_dist,0.5848845056127757,0.1943403601840438,1000,0.5728393866309408,0.5969296245946106,0.006145581794790781,neologism,
25,cosine_dist,0.5462196578942239,0.1744247270421773,1000,0.5354088999610418,0.557030415827406,0.0055157941770644465,neologism,
26,cosine_dist,0.6008919189833105,0.1959352523202573,1000,0.5887479493791669,0.6130358885874542,0.006196016712518043,neologism,
27,cosine_dist,0.6102761893793941,0.206869629261023,1000,0.5974545125243272,0.623097866234461,0.0065417920717944795,neologism,
28,cosine_dist,0.6886779156774282,0.1889655454954752,1000,0.6769659250399465,0.7003899063149099,0.005975615230618727,neologism,
29,cosine_dist,0.6120037429500371,0.2002927730256587,1000,0.5995896963772562,0.624417789522818,0.006333813616322163,neologism,
30,cosine_dist,0.4912254337966442,0.1786315853041357,1000,0.480153936878225,0.5022969307150633,0.005648826716077305,neologism,
31,cosine_dist,0.5638965017423033,0.1775092906974379,1000,0.5528945640860855,0.5748984393985211,0.005613336644448426,neologism,
32,cosine_dist,0.3845412042587995,0.1411033736791776,1000,0.3757956872540227,0.39328672126357633,0.004462080463600543,neologism,
33,cosine_dist,0.4926282644309103,0.151572416437105,1000,0.4832338813566987,0.5020226475051219,0.0047931406639679566,neologism,
34,cosine_dist,0.7953858114346513,0.1756904664995786,1000,0.7844966035986802,0.8062750192706223,0.005555820373161784,neologism,
35,cosine_dist,0.7153083020999329,0.1758027842101504,1000,0.7044121328680567,0.7262044713318091,0.005559372171031609,neologism,
36,cosine_dist,0.6885902207035106,0.1884140453370413,1000,0.6769124117718801,0.7002680296351411,0.00595817526431278,neologism,
37,cosine_dist,0.8144312576593365,0.1776920329274461,1000,0.8034179937304836,0.8254445215881895,0.005619115461163669,neologism,
38,cosine_dist,0.7853433719311143,0.175020233910854,1000,0.7744957047780413,0.7961910390841872,0.0055346257577373785,neologism,
39,cosine_dist,0.6735463804375613,0.1713684889907545,1000,0.6629250466205605,0.6841677142545621,0.005419147443922738,neologism,
40,cosine_dist,0.7877642497156048,0.1561800646059389,1000,0.7780842868968282,0.7974442125343814,0.004938847292670147,neologism,
41,cosine_dist,0.8570854203773343,0.1641943749017369,1000,0.8469087345876893,0.8672621061669792,0.005192282036770743,neologism,
42,cosine_dist,0.6939954273928888,0.1769217945672927,1000,0.6830299024549672,0.7049609523308104,0.0055947583855704905,neologism,
43,cosine_dist,0.7379449237082154,0.1742737803431674,1000,0.7271435213764522,0.7487463260399786,0.005511020823322895,neologism,
44,cosine_dist,0.6109469054803485,0.2037282895819974,1000,0.5983199272980657,0.6235738836626312,0.0064424541888946476,neologism,
45,cosine_dist,0.5340226685019442,0.2099848767525228,1000,0.5210079101549143,0.5470374268489742,0.0066403048472771335,neologism,
46,cosine_dist,0.6442674378987867,0.2317000902217732,1000,0.6299067814083893,0.6586280943891841,0.007327000191673114,neologism,
47,cosine_dist,0.3551346842411439,0.1739966128562249,1000,0.3443504606125331,0.36591890786975473,0.005502256017802062,neologism,
0,cosine_dist,0.1758566446260301,0.1812555130738579,1002,0.1646337352714353,0.1870795539806249,0.005726079378559849,semantic_shift,checkpoint_token_level_layer_20.csv
1,cosine_dist,0.2471915044321747,0.2094193179092447,1002,0.23422475940942425,0.2601582494549251,0.0066158078031180526,semantic_shift,checkpoint_token_level_layer_20.csv
2,cosine_dist,0.2434167611206363,0.1845266933290862,1002,0.23199130808135915,0.2548422141599134,0.005829419892099882,semantic_shift,checkpoint_token_level_layer_20.csv
3,cosine_dist,0.3857115920476928,0.2071883790181224,1002,0.37288298144373105,0.3985402026516545,0.0065453297637875895,semantic_shift,checkpoint_token_level_layer_20.csv
4,cosine_dist,0.2171150177360294,0.1295728562297214,1002,0.20909217530977142,0.22513786016228737,0.004093362168662867,semantic_shift,checkpoint_token_level_layer_20.csv
5,cosine_dist,0.3428189325148236,0.1774975119486121,1002,0.3318287096328654,0.35380915539678176,0.005607359608976309,semantic_shift,checkpoint_token_level_layer_20.csv
6,cosine_dist,0.322933792993575,0.1700564238747633,1002,0.3124043045496272,0.3334632814375228,0.00537228669863481,semantic_shift,checkpoint_token_level_layer_20.csv
7,cosine_dist,0.4158460796176792,0.1605906862201976,1002,0.4059026870881121,0.42578947214724633,0.005073252676069217,semantic_shift,checkpoint_token_level_layer_20.csv
8,cosine_dist,0.4565754162366994,0.1286523592004112,1002,0.4486095687925301,0.4645412636808687,0.004064282561824035,semantic_shift,checkpoint_token_level_layer_20.csv
9,cosine_dist,0.4775625132098645,0.163099063916058,1002,0.46746380791198305,0.4876612185077459,0.005152495340495391,semantic_shift,checkpoint_token_level_layer_20.csv
10,cosine_dist,0.3428878335955138,0.1042376220163234,1002,0.33643368848627775,0.3493419787047498,0.003292991687676678,semantic_shift,checkpoint_token_level_layer_20.csv
11,cosine_dist,0.39038435569007,0.1101122210399548,1002,0.3835664694111519,0.3972022419689881,0.0034785773272859766,semantic_shift,checkpoint_token_level_layer_20.csv
12,cosine_dist,0.3451667039575215,0.1201683373245085,1002,0.3377261669265966,0.3526072409884464,0.003796262119924087,semantic_shift,checkpoint_token_level_layer_20.csv
13,cosine_dist,0.314671083808897,0.1180768171775776,1002,0.3073600487204193,0.32198211889737477,0.0037301884861896837,semantic_shift,checkpoint_token_level_layer_20.csv
14,cosine_dist,0.2764401395401792,0.1250263362351404,1002,0.2686988067955453,0.2841814722848131,0.0039497321408436745,semantic_shift,checkpoint_token_level_layer_20.csv
15,cosine_dist,0.2485870824840492,0.1083780932466525,1002,0.24187656926487128,0.25529759570322713,0.003423794147295365,semantic_shift,checkpoint_token_level_layer_20.csv
16,cosine_dist,0.1558304535236187,0.1000271803582352,1002,0.1496370089264398,0.16202389812079762,0.003159978778197979,semantic_shift,checkpoint_token_level_layer_20.csv
17,cosine_dist,0.2054974974807865,0.1189190530494632,1002,0.19813431315455557,0.21286068180701742,0.0037567957290597104,semantic_shift,checkpoint_token_level_layer_20.csv
18,cosine_dist,0.157879290644994,0.0975065569982141,1002,0.1518419170384672,0.16391666425152082,0.0030803492585317178,semantic_shift,checkpoint_token_level_layer_20.csv
19,cosine_dist,0.2102387257351609,0.1479595682016001,1002,0.20107742192756356,0.21940002954275822,0.004674220485611236,semantic_shift,checkpoint_token_level_layer_20.csv
20,cosine_dist,0.1623455553711531,0.1032890199185153,1002,0.15595014544285987,0.16874096529944635,0.0032630242079647407,semantic_shift,checkpoint_token_level_layer_30.csv
21,cosine_dist,0.1925479912621056,0.1239012823737262,1002,0.18487631917105163,0.20021966335315955,0.0039141903379690335,semantic_shift,checkpoint_token_level_layer_30.csv
22,cosine_dist,0.1742697475913042,0.1237493756848808,1002,0.16660748120036029,0.18193201398224812,0.003909391423201081,semantic_shift,checkpoint_token_level_layer_30.csv
23,cosine_dist,0.3052646733612238,0.1887217105058141,1002,0.29357947485701175,0.3169498718654359,0.005961945523684826,semantic_shift,checkpoint_token_level_layer_30.csv
24,cosine_dist,0.3202930922190586,0.1417253062378247,1002,0.31151779905315546,0.32906838538496175,0.0044772726617027395,semantic_shift,checkpoint_token_level_layer_30.csv
25,cosine_dist,0.2775129667462822,0.1999238221068495,1002,0.2651341601914987,0.28989177330106564,0.006315833684917623,semantic_shift,checkpoint_token_level_layer_30.csv
26,cosine_dist,0.3183149701530883,0.1898645988346473,1002,0.30655900672758146,0.3300709335785951,0.005998050738807645,semantic_shift,checkpoint_token_level_layer_30.csv
27,cosine_dist,0.3007664939169279,0.2116761014133807,1002,0.2876600142385505,0.3138729735953053,0.006687102304817658,semantic_shift,checkpoint_token_level_layer_30.csv
28,cosine_dist,0.2657886484745674,0.1770221316900268,1002,0.2548278600051719,0.2767494369439629,0.005592341775590185,semantic_shift,checkpoint_token_level_layer_30.csv
29,cosine_dist,0.3511797672364407,0.2032685903984415,1002,0.33859386060115726,0.3637656738717241,0.006421498932918889,semantic_shift,sae_token_level_results_20260129_154848.csv
30,cosine_dist,0.2580657035796466,0.1457271378751714,1002,0.24904262653695736,0.2670887806223358,0.004603695330047961,semantic_shift,sae_token_level_results_20260129_154848.csv
31,cosine_dist,0.2466466025321069,0.1543352993145365,1002,0.23709052865028513,0.2562026764139287,0.004875637489871687,semantic_shift,sae_token_level_results_20260129_154848.csv
32,cosine_dist,0.1613085847831296,0.1139978682420222,1002,0.15425010849073714,0.16836706107552205,0.003601329589762267,semantic_shift,sae_token_level_results_20260129_154848.csv
33,cosine_dist,0.1789353280188794,0.1044431890219067,1002,0.172468454690618,0.1854022013471408,0.0032994857963060975,semantic_shift,sae_token_level_results_20260129_154848.csv
34,cosine_dist,0.3489893426943919,0.1914512846472337,1002,0.33713513546516904,0.3608435499236148,0.006048176049523035,semantic_shift,sae_token_level_results_20260129_154848.csv
35,cosine_dist,0.3277141190358919,0.1511818913993147,1002,0.31835329665616474,0.3370749414156191,0.004776017546018276,semantic_shift,sae_token_level_results_20260129_154848.csv
36,cosine_dist,0.268484362711509,0.14225532016881,1002,0.2596762523462653,0.2772924730767527,0.004494016438424873,semantic_shift,sae_token_level_results_20260129_154848.csv
37,cosine_dist,0.4329857294877132,0.179531653589271,1002,0.421869557403657,0.4441019015717694,0.005671620586775647,semantic_shift,sae_token_level_results_20260129_154848.csv
38,cosine_dist,0.3476434993500005,0.1628544084508766,1002,0.33755994253539706,0.35772705616460393,0.005144766380474979,semantic_shift,sae_token_level_results_20260129_154848.csv
39,cosine_dist,0.3540584081319159,0.1861210333046002,1002,0.34253423736139765,0.3655825789024342,0.005879787007016185,semantic_shift,sae_token_level_results_20260129_154848.csv
40,cosine_dist,0.4015157130619366,0.1959011071868004,1002,0.3893859834270298,0.41364544269684345,0.0061887512885872445,semantic_shift,sae_token_level_results_20260129_154848.csv
41,cosine_dist,0.4211846721802881,0.1954323098620375,1002,0.40908396935837177,0.43328537500220443,0.00617394141798786,semantic_shift,sae_token_level_results_20260129_154848.csv
42,cosine_dist,0.362054352371576,0.1713145625384595,1002,0.35144696298029304,0.372661741762859,0.005412032810272386,semantic_shift,sae_token_level_results_20260129_154848.csv
43,cosine_dist,0.432764399000174,0.1862059701158063,1002,0.42123496914474917,0.4442938288555988,0.005882470262906613,semantic_shift,sae_token_level_results_20260129_154848.csv
44,cosine_dist,0.2726232109966868,0.1364016741540007,1002,0.26417754444075947,0.2810688775526141,0.004309092729532606,semantic_shift,sae_token_level_results_20260129_154848.csv
45,cosine_dist,0.2420755373444147,0.1211376888211553,1002,0.23457498037922622,0.24957609430960317,0.0038268850980691083,semantic_shift,sae_token_level_results_20260129_154848.csv
46,cosine_dist,0.3377802062160642,0.1803587905748492,1002,0.3266128197813074,0.348947592650821,0.005697750837690738,semantic_shift,sae_token_level_results_20260129_154848.csv
47,cosine_dist,0.1306677287567161,0.0715183837087555,1002,0.12623948089854786,0.13509597661488432,0.0022593516478352,semantic_shift,sae_token_level_results_20260129_154848.csv
0,cosine_dist,0.4819758427706924,0.2825186827892154,37,0.39094377626004884,0.5730079092813359,0.04644578534539048,construction,
1,cosine_dist,0.5209242024937192,0.3029986773305889,37,0.42329315213244334,0.618555252854995,0.04981267570801153,construction,
2,cosine_dist,0.5142636168244723,0.2739223519547228,37,0.42600142645988476,0.6025258071890598,0.04503255726165809,construction,
3,cosine_dist,0.5911753658910055,0.237437099046124,37,0.5146693112150132,0.6676814205669978,0.039034418631904606,construction,
4,cosine_dist,0.4342833384871483,0.2169120012363946,37,0.3643908006607542,0.5041758763135424,0.03566011333764168,construction,
5,cosine_dist,0.5619823844046206,0.2104792168743922,37,0.4941625932302676,0.6298021755789734,0.034602570102974746,construction,
6,cosine_dist,0.5853254088276142,0.2078396499988162,37,0.5183561285823243,0.6522946890729041,0.034168627981705293,construction,
7,cosine_dist,0.659081033355481,0.1768914222244826,37,0.6020837701864622,0.7160782965244997,0.029080770676709312,construction,
8,cosine_dist,0.6059855267002776,0.1469759539335017,37,0.5586275088805422,0.653343544520013,0.024162697984906528,construction,
9,cosine_dist,0.5926975068208333,0.1783607521227095,37,0.535226801910897,0.6501682117307697,0.029322327023995298,construction,
10,cosine_dist,0.4488282276166452,0.1484351693706771,37,0.4010000270981274,0.49665642813516303,0.024402591525038507,construction,
11,cosine_dist,0.5525639045077402,0.1461178661870791,37,0.5054823763701495,0.5996454326453309,0.024021629228375512,construction,
12,cosine_dist,0.4804257041699177,0.1514205622302035,37,0.4316355620245108,0.5292158463153246,0.02489338708785329,construction,
13,cosine_dist,0.4925701352390083,0.1652002537336391,37,0.4393399547178994,0.5458003157601171,0.02715875441639834,construction,
