layer,metric,mean,std,n
0,l1_dist,0.0,0.0,1000
0,l2_dist,0.0,0.0,1000
0,cosine_dist,4.7087669372558594e-09,1.0162126972379585e-07,1000
0,slang_only_features,0.0,0.0,1000
0,literal_only_features,0.0,0.0,1000
0,shared_features,69.23,61.03614584817753,1000
0,slang_active,69.23,61.03614584817753,1000
0,literal_active,69.23,61.03614584817753,1000
1,l1_dist,0.0,0.0,1000
1,l2_dist,0.0,0.0,1000
1,cosine_dist,7.152557373046875e-10,1.0079806312920742e-07,1000
1,slang_only_features,0.0,0.0,1000
1,literal_only_features,0.0,0.0,1000
1,shared_features,70.489,59.58724594239945,1000
1,slang_active,70.489,59.58724594239945,1000
1,literal_active,70.489,59.58724594239945,1000
2,l1_dist,0.0,0.0,1000
2,l2_dist,0.0,0.0,1000
2,cosine_dist,1.7881393432617187e-09,9.693958402941084e-08,1000
2,slang_only_features,0.0,0.0,1000
2,literal_only_features,0.0,0.0,1000
2,shared_features,75.245,56.00902583512768,1000
2,slang_active,75.245,56.00902583512768,1000
2,literal_active,75.245,56.00902583512768,1000
3,l1_dist,0.0,0.0,1000
3,l2_dist,0.0,0.0,1000
3,cosine_dist,2.3245811462402344e-09,9.30191354385288e-08,1000
3,slang_only_features,0.0,0.0,1000
3,literal_only_features,0.0,0.0,1000
3,shared_features,78.283,54.98533359906076,1000
3,slang_active,78.283,54.98533359906076,1000
3,literal_active,78.283,54.98533359906076,1000
4,l1_dist,0.0,0.0,1000
4,l2_dist,0.0,0.0,1000
4,cosine_dist,-3.2186508178710937e-09,9.918549593840626e-08,1000
4,slang_only_features,0.0,0.0,1000
4,literal_only_features,0.0,0.0,1000
4,shared_features,86.247,52.758942284697106,1000
4,slang_active,86.247,52.758942284697106,1000
4,literal_active,86.247,52.758942284697106,1000
5,l1_dist,0.0,0.0,1000
5,l2_dist,0.0,0.0,1000
5,cosine_dist,9.238719940185547e-09,9.293308418061918e-08,1000
5,slang_only_features,0.0,0.0,1000
5,literal_only_features,0.0,0.0,1000
5,shared_features,86.091,54.697245991000315,1000
5,slang_active,86.091,54.697245991000315,1000
5,literal_active,86.091,54.697245991000315,1000
6,l1_dist,0.0,0.0,1000
6,l2_dist,0.0,0.0,1000
6,cosine_dist,-3.5166740417480467e-09,1.0040364816656973e-07,1000
6,slang_only_features,0.0,0.0,1000
6,literal_only_features,0.0,0.0,1000
6,shared_features,89.382,52.63833276235105,1000
6,slang_active,89.382,52.63833276235105,1000
6,literal_active,89.382,52.63833276235105,1000
7,l1_dist,0.0,0.0,1000
7,l2_dist,0.0,0.0,1000
7,cosine_dist,7.688999176025391e-09,9.924413202726737e-08,1000
7,slang_only_features,0.0,0.0,1000
7,literal_only_features,0.0,0.0,1000
7,shared_features,94.21,50.3833891277671,1000
7,slang_active,94.21,50.3833891277671,1000
7,literal_active,94.21,50.3833891277671,1000
8,l1_dist,0.0,0.0,1000
8,l2_dist,0.0,0.0,1000
8,cosine_dist,5.006790161132813e-09,9.914716232588289e-08,1000
8,slang_only_features,0.0,0.0,1000
8,literal_only_features,0.0,0.0,1000
8,shared_features,101.209,46.86752947403992,1000
8,slang_active,101.209,46.86752947403992,1000
8,literal_active,101.209,46.86752947403992,1000
9,l1_dist,0.0,0.0,1000
9,l2_dist,0.0,0.0,1000
9,cosine_dist,7.212162017822265e-09,9.913668069777641e-08,1000
9,slang_only_features,0.0,0.0,1000
9,literal_only_features,0.0,0.0,1000
9,shared_features,102.49,47.9073470357105,1000
9,slang_active,102.49,47.9073470357105,1000
9,literal_active,102.49,47.9073470357105,1000
