layer,metric,mean,std,n
0,l1_dist,802.4855244951248,1230.0237416686514,1000
0,l2_dist,153.5173211863935,167.47747573231803,1000
0,cosine_dist,0.5862189520695829,0.36253601784956113,1000
0,slang_only_features,16.413,33.367925182726,1000
0,literal_only_features,16.653,33.90838526087611,1000
0,shared_features,5.875,12.956750171242787,1000
0,slang_active,22.288,38.39730532211863,1000
0,literal_active,22.528,38.92928481233633,1000
1,l1_dist,815.4956935815811,1245.0890570335464,1000
1,l2_dist,154.71896897804737,167.99239852159562,1000
1,cosine_dist,0.47112629728601313,0.3533251469286233,1000
1,slang_only_features,16.443,33.33932739273545,1000
1,literal_only_features,16.396,33.11548254215843,1000
1,shared_features,6.439,13.34946736765179,1000
1,slang_active,22.882,38.585257236410904,1000
1,literal_active,22.835,38.323932144288115,1000
2,l1_dist,893.5547982025147,1261.449931811107,1000
2,l2_dist,152.14869553470612,151.60679656172582,1000
2,cosine_dist,0.4205361818127567,0.29942276895156944,1000
2,slang_only_features,17.385,30.93820898177527,1000
2,literal_only_features,17.712,31.48137633585927,1000
2,shared_features,9.729,13.793678225912043,1000
2,slang_active,27.114,37.47979460989614,1000
2,literal_active,27.441,37.69759301334768,1000
3,l1_dist,991.4897292118072,1308.5983539009899,1000
3,l2_dist,161.89650545215608,152.43784912778617,1000
3,cosine_dist,0.4437692948267795,0.2754744367205291,1000
3,slang_only_features,18.512,29.964509940928448,1000
3,literal_only_features,18.615,30.39145891529395,1000
3,shared_features,12.855,14.027115704948041,1000
3,slang_active,31.367,36.55390965409856,1000
3,literal_active,31.47,36.573967517894474,1000
4,l1_dist,1146.5280544319153,1441.3381229174322,1000
4,l2_dist,177.45941257357597,162.0323965115235,1000
4,cosine_dist,0.3735608194759116,0.2649717056422927,1000
4,slang_only_features,20.023,30.34370562406642,1000
4,literal_only_features,20.226,30.796638193153488,1000
4,shared_features,16.305,14.51764357600778,1000
4,slang_active,36.328,37.17615386238872,1000
4,literal_active,36.531,37.49908050872714,1000
5,l1_dist,1172.2115341873168,1507.4559489852975,1000
5,l2_dist,186.0513754901886,174.82208811407784,1000
5,cosine_dist,0.4343641486128326,0.27645951984728245,1000
5,slang_only_features,19.754,29.91557260023615,1000
5,literal_only_features,20.444,31.094096931732878,1000
5,shared_features,14.468,15.491706684545766,1000
5,slang_active,34.222,37.529517929224724,1000
5,literal_active,34.912,38.332939568992096,1000
6,l1_dist,1386.765295475006,1766.1176005014524,1000
6,l2_dist,224.90433189225197,205.5837424267195,1000
6,cosine_dist,0.4538932092511095,0.29632183140356916,1000
6,slang_only_features,20.409,31.307087360532282,1000
6,literal_only_features,20.823,31.987242316273534,1000
6,shared_features,13.071,15.264532714760712,1000
6,slang_active,33.48,39.08766557368194,1000
6,literal_active,33.894,39.57083223789967,1000
7,l1_dist,1531.4587216262817,1843.8882614755457,1000
7,l2_dist,233.997501953125,207.8024864142689,1000
7,cosine_dist,0.43896673996467145,0.2698598371309961,1000
7,slang_only_features,22.114,30.98385069677428,1000
7,literal_only_features,22.213,30.642513457613102,1000
7,shared_features,16.669,16.6987256699426,1000
7,slang_active,38.783,39.79653139408006,1000
7,literal_active,38.882,39.44393585838005,1000
8,l1_dist,1833.6002951164246,1952.4584610338159,1000
8,l2_dist,258.0384438972473,209.96950305028275,1000
8,cosine_dist,0.4277287457659841,0.2380369877576524,1000
8,slang_only_features,24.598,29.42839438365607,1000
8,literal_only_features,25.037,29.383288294539124,1000
8,shared_features,22.911,18.99560683421301,1000
8,slang_active,47.509,39.2533809881391,1000
8,literal_active,47.948,39.17498303764789,1000
9,l1_dist,2062.2660304260253,2163.3499951396625,1000
9,l2_dist,288.9624700946808,231.2603740163658,1000
9,cosine_dist,0.4030422278577462,0.23702855652167718,1000
9,slang_only_features,24.823,30.149256557998243,1000
9,literal_only_features,25.072,29.740054068545334,1000
9,shared_features,23.032,18.494403910372455,1000
9,slang_active,47.855,39.991923872201994,1000
9,literal_active,48.104,39.26101353760496,1000
10,l1_dist,2290.6418729820252,2444.3039982540868,1000
10,l2_dist,323.5145766620636,259.6520489510216,1000
10,cosine_dist,0.34494049158063717,0.22523448192064985,1000
10,slang_only_features,23.619,30.791587146491818,1000
10,literal_only_features,23.285,29.61654562909051,1000
10,shared_features,21.338,16.255699185208858,1000
10,slang_active,44.957,39.08430824512569,1000
10,literal_active,44.623,38.19372816314218,1000
11,l1_dist,2640.5851401062014,2760.3957099674935,1000
11,l2_dist,357.59576116371153,277.5245023859747,1000
11,cosine_dist,0.38861950250994415,0.23416331778534052,1000
11,slang_only_features,25.81,31.691101274648062,1000
11,literal_only_features,25.042,29.265786099129475,1000
11,shared_features,22.614,17.49357036170718,1000
11,slang_active,48.424,40.468953828830315,1000
11,literal_active,47.656,38.02740674829142,1000
12,l1_dist,3175.4415762786866,2978.937258360052,1000
12,l2_dist,414.7357856750488,292.7686500511853,1000
12,cosine_dist,0.3310365410731174,0.22148850630266625,1000
12,slang_only_features,27.525,30.90979415978049,1000
12,literal_only_features,26.697,29.37841369100789,1000
12,shared_features,29.638,18.84141597651302,1000
12,slang_active,57.163,39.56908428306119,1000
12,literal_active,56.335,38.1891709127077,1000
13,l1_dist,3634.1307623901366,3766.1896359075904,1000
13,l2_dist,495.0812298812866,414.16707158972974,1000
