layer,metric,mean,std,n
0,l1_dist,5.347485004244624,3.8375438502226387,37
0,l2_dist,0.8491702808721645,0.549335415639076,37
0,cosine_dist,0.209523870332821,0.22290367870628747,37
0,slang_only_features,44.78378378378378,16.817197014149237,37
0,literal_only_features,47.945945945945944,15.613483337904587,37
0,shared_features,39.13513513513514,7.352742316736871,37
0,slang_active,83.91891891891892,15.823995426683368,37
0,literal_active,87.08108108108108,13.77302176579248,37
1,l1_dist,9.773725483868573,6.651282763383677,37
1,l2_dist,1.2630914747714996,0.7732982526131511,37
1,cosine_dist,0.4161804149279723,0.23718829565535515,37
1,slang_only_features,58.891891891891895,15.339022456931819,37
1,literal_only_features,56.67567567567568,20.365649476447256,37
1,shared_features,29.35135135135135,8.777170067286253,37
1,slang_active,88.24324324324324,14.188700120271584,37
1,literal_active,86.02702702702703,18.765244594061258,37
2,l1_dist,15.934769578882166,9.41884831099304,37
2,l2_dist,2.268084237704406,1.4130923378727651,37
2,cosine_dist,0.3680306463628202,0.1975825427601533,37
2,slang_only_features,61.891891891891895,11.370383016163466,37
2,literal_only_features,60.810810810810814,11.516938965123051,37
2,shared_features,35.45945945945946,9.77198033705635,37
2,slang_active,97.35135135135135,7.669582659692085,37
2,literal_active,96.27027027027027,7.265797880884996,37
3,l1_dist,20.912764304393047,11.732768829918568,37
3,l2_dist,2.7745306620726713,1.5217019830722815,37
3,cosine_dist,0.40753818605397196,0.16908775176953098,37
3,slang_only_features,63.270270270270274,11.751132547255612,37
3,literal_only_features,63.83783783783784,11.43610572896096,37
3,shared_features,33.351351351351354,10.45509371839086,37
3,slang_active,96.62162162162163,9.047476432838925,37
3,literal_active,97.1891891891892,6.793629121455125,37
4,l1_dist,26.332202988701898,13.883268336456725,37
4,l2_dist,3.1829573947030143,1.6773533292186205,37
4,cosine_dist,0.45144689969114354,0.1641822606502577,37
4,slang_only_features,68.02702702702703,9.604296579294775,37
4,literal_only_features,67.24324324324324,10.330760693598528,37
4,shared_features,30.945945945945947,9.374911735644886,37
4,slang_active,98.97297297297297,4.327701384053643,37
4,literal_active,98.1891891891892,5.608091826742892,37
5,l1_dist,36.70855772173083,17.87393463243012,37
5,l2_dist,4.0419457893113835,1.9790824579929336,37
5,cosine_dist,0.47739626749141795,0.15222768974295686,37
5,slang_only_features,68.62162162162163,8.502309229568645,37
5,literal_only_features,67.83783783783784,9.448333224990543,37
5,shared_features,31.10810810810811,8.573320602338093,37
5,slang_active,99.72972972972973,1.621621621621621,37
5,literal_active,98.94594594594595,3.9245997967494373,37
6,l1_dist,54.809982918404245,21.967794139561207,37
6,l2_dist,6.012558266923234,2.273759906787881,37
6,cosine_dist,0.28594124961543727,0.13235713632425258,37
6,slang_only_features,65.29729729729729,9.072872738136754,37
6,literal_only_features,63.86486486486486,10.795800390097048,37
6,shared_features,34.0,8.627423278849394,37
6,slang_active,99.29729729729729,2.545423714155915,37
6,literal_active,97.86486486486487,7.0983902330498445,37
7,l1_dist,55.67578563174686,22.52168120817609,37
7,l2_dist,6.052302714940664,2.379935700760064,37
7,cosine_dist,0.3592522450395533,0.11663039804009097,37
7,slang_only_features,65.72972972972973,8.970367580068755,37
7,literal_only_features,65.32432432432432,8.917198851336286,37
7,shared_features,33.972972972972975,8.61954562822817,37
7,slang_active,99.70270270270271,1.7837837837837838,37
7,literal_active,99.29729729729729,2.3694550047895877,37
8,l1_dist,60.120840072631836,22.61695426706229,37
8,l2_dist,6.331443509540042,2.3640647662684517,37
8,cosine_dist,0.3436461501830333,0.10935057391110967,37
8,slang_only_features,65.5945945945946,9.341738536787494,37
8,literal_only_features,65.37837837837837,9.447869347539749,37
8,shared_features,34.351351351351354,9.317859098196836,37
8,slang_active,99.94594594594595,0.22612433149569608,37
8,literal_active,99.72972972972973,1.621621621621621,37
9,l1_dist,64.35110040613122,23.287312457992527,37
9,l2_dist,6.590485373058835,2.326471860112835,37
9,cosine_dist,0.32977258273073146,0.10080519224376135,37
9,slang_only_features,62.08108108108108,8.72826529428843,37
9,literal_only_features,61.729729729729726,8.903836551305252,37
9,shared_features,37.91891891891892,8.72826529428843,37
9,slang_active,100.0,0.0,37
9,literal_active,99.64864864864865,2.1081081081081083,37
10,l1_dist,67.90061203209129,24.93316909396527,37
10,l2_dist,6.997244370950235,2.452708553531253,37
10,cosine_dist,0.26412941314078664,0.09534573386755643,37
10,slang_only_features,60.945945945945944,9.409443060021186,37
10,literal_only_features,60.32432432432432,10.056741866822216,37
10,shared_features,39.054054054054056,9.409443060021186,37
10,slang_active,100.0,0.0,37
10,literal_active,99.37837837837837,3.7297297297297307,37
11,l1_dist,70.20058822631836,25.32390175271415,37
11,l2_dist,7.184300010268752,2.4450749152140605,37
11,cosine_dist,0.26834368061374975,0.0948965456128891,37
11,slang_only_features,62.027027027027025,11.281380226287933,37
11,literal_only_features,61.67567567567568,11.167167256894757,37
11,shared_features,37.972972972972975,11.281380226287933,37
11,slang_active,100.0,0.0,37
11,literal_active,99.64864864864865,2.1081081081081083,37
12,l1_dist,71.9988571373192,25.89191609342746,37
12,l2_dist,7.415794759183316,2.5082123664391,37
12,cosine_dist,0.2708573744103715,0.09604388457919327,37
12,slang_only_features,61.91891891891892,9.490759028622096,37
12,literal_only_features,61.37837837837838,10.025242064480258,37
12,shared_features,38.08108108108108,9.490759028622096,37
12,slang_active,100.0,0.0,37
12,literal_active,99.45945945945945,3.243243243243242,37
13,l1_dist,74.17142239132443,25.083487000476424,37
13,l2_dist,7.673488681380813,2.4776711462979404,37
13,cosine_dist,0.2675814499726167,0.08672669674841695,37
13,slang_only_features,59.270270270270274,9.152310736576084,37
13,literal_only_features,58.810810810810814,9.179406557506386,37
13,shared_features,40.729729729729726,9.152310736576084,37
13,slang_active,100.0,0.0,37
13,literal_active,99.54054054054055,2.7567567567567557,37
