layer,metric,mean,std,n
0,l1_dist,8.72876671163019,4.788846868730686,823
0,l2_dist,1.265357056716378,0.6096894375595497,823
0,cosine_dist,0.3431213796500881,0.2236373907351665,823
0,slang_only_features,59.495747266099634,12.781352945964729,823
0,literal_only_features,60.59052247873633,12.946051536870334,823
0,shared_features,36.33171324422843,9.355048947343892,823
0,slang_active,95.82746051032808,8.191325420315975,823
0,literal_active,96.92223572296476,7.545006563392774,823
1,l1_dist,14.205091185587143,6.568040376408688,823
1,l2_dist,1.7608033601162936,0.7519927129156474,823
1,cosine_dist,0.6301323146370318,0.1660299108884914,823
1,slang_only_features,71.85297691373026,10.795526401590516,823
1,literal_only_features,71.81166464155528,11.342872788037017,823
1,shared_features,26.432563791008505,9.243565775759429,823
1,slang_active,98.28554070473876,5.698148100859377,823
1,literal_active,98.2442284325638,6.606810993260968,823
2,l1_dist,21.60485024672377,8.365694720472478,823
2,l2_dist,2.791958530864623,1.075042632979304,823
2,cosine_dist,0.5593492008953889,0.1553590833175209,823
2,slang_only_features,70.01336573511543,9.795779398196,823
2,literal_only_features,70.0145808019441,9.871336626449391,823
2,shared_features,29.730255164034023,9.562743918944715,823
2,slang_active,99.74362089914943,2.4247869492713505,823
2,literal_active,99.74483596597813,2.438655773992804,823
3,l1_dist,27.60328840369297,10.833294216391804,823
3,l2_dist,3.397923691811567,1.3120488998077762,823
3,cosine_dist,0.5776075612513727,0.1486733919385389,823
3,slang_only_features,72.1895504252734,9.5661939022796,823
3,literal_only_features,72.20291616038882,9.633572889195364,823
3,shared_features,27.57351154313488,9.348608420861918,823
3,slang_active,99.76306196840828,2.092280867145377,823
3,literal_active,99.7764277035237,2.29078737583256,823
4,l1_dist,35.19178398614376,12.96949171957509,823
4,l2_dist,3.975956612557426,1.4376795503542783,823
4,cosine_dist,0.6166022416036735,0.1399786654360724,823
4,slang_only_features,73.33171324422844,9.847959758375476,823
4,literal_only_features,73.35479951397326,9.849314175254404,823
4,shared_features,26.53584447144593,9.6267330161329,823
4,slang_active,99.86755771567437,2.0068424238050184,823
4,literal_active,99.8906439854192,1.8079606465570703,823
5,l1_dist,47.764522876948085,15.972428844972123,823
5,l2_dist,5.031033211171555,1.613931586238011,823
5,cosine_dist,0.6100774494838309,0.1367653450829134,823
5,slang_only_features,72.69987849331713,10.202141032044548,823
5,literal_only_features,72.71810449574727,10.181022552886004,823
5,shared_features,27.2138517618469,10.045362609248803,823
5,slang_active,99.91373025516404,1.5157636046308505,823
5,literal_active,99.93195625759417,1.1944533365934555,823
6,l1_dist,67.71125386610066,21.09151346443067,823
6,l2_dist,7.056614305095279,2.06349695627371,823
6,cosine_dist,0.3868212375613348,0.1327979278765781,823
6,slang_only_features,67.73390036452005,10.502254816613725,823
6,literal_only_features,67.68894289185906,10.585666813946494,823
6,shared_features,32.06075334143378,10.369536789829905,823
6,slang_active,99.79465370595383,2.357041743209035,823
6,literal_active,99.74969623329284,2.6725819572874423,823
7,l1_dist,70.10248234842702,22.436859680408443,823
7,l2_dist,7.124322147589552,2.1551189445026835,823
7,cosine_dist,0.4636008737208197,0.1382376488443308,823
7,slang_only_features,68.2940461725395,10.6853166206439,823
7,literal_only_features,68.24787363304982,10.792837381103393,823
7,shared_features,31.63426488456865,10.661186215956189,823
7,slang_active,99.92831105710816,1.2129166881150055,823
7,literal_active,99.88213851761849,1.8988925071197085,823
8,l1_dist,74.15913570144487,23.348908846018546,823
8,l2_dist,7.413045623612433,2.2044284794739832,823
8,cosine_dist,0.4524690453891041,0.1427180934127352,823
8,slang_only_features,66.28311057108141,11.221130650268652,823
8,literal_only_features,66.23329283110571,11.268899759690754,823
8,shared_features,33.64763061968408,11.206328107247096,823
8,slang_active,99.93074119076547,1.4103644504879012,823
8,literal_active,99.8809234507898,1.971340989143378,823
9,l1_dist,79.36809787078153,24.59068271736331,823
9,l2_dist,7.785294372719663,2.257119438235165,823
9,cosine_dist,0.4297041945874618,0.1380642053384342,823
9,slang_only_features,63.83475091130012,11.620546083579878,823
9,literal_only_features,63.82503037667072,11.607849418990138,823
9,shared_features,36.0996354799514,11.61376345934966,823
9,slang_active,99.93438639125152,1.4014646327329978,823
9,literal_active,99.92466585662213,1.393148171006873,823
10,l1_dist,84.91486785536404,26.427747591148773,823
10,l2_dist,8.380100936964968,2.4365031992208075,823
10,cosine_dist,0.3571861048986092,0.1292004001761354,823
10,slang_only_features,61.69744835965978,11.654486390545324,823
10,literal_only_features,61.70959902794654,11.718633020259777,823
10,shared_features,38.1992709599028,11.65217450920314,823
10,slang_active,99.89671931956258,1.6328274019689524,823
10,literal_active,99.90886998784931,1.390894381302069,823
11,l1_dist,86.70047713311011,26.999410675858044,823
11,l2_dist,8.513558661227963,2.499564979497437,823
11,cosine_dist,0.3730708269237168,0.1272729976408863,823
11,slang_only_features,62.06318347509113,11.64713652089844,823
11,literal_only_features,62.02308626974484,11.770412137923092,823
11,shared_features,37.85540704738761,11.653241948942028,823
11,slang_active,99.91859052247874,1.744125904319049,823
11,literal_active,99.87849331713244,1.7705053928033143,823
12,l1_dist,90.05601016284484,28.14385900143309,823
12,l2_dist,8.81841767515041,2.578650878673349,823
12,cosine_dist,0.3673025658252317,0.1264230924302097,823
12,slang_only_features,61.733900364520046,11.705723651130423,823
12,literal_only_features,61.658566221142166,11.813406367248236,823
12,shared_features,38.161603888213854,11.692885889146742,823
12,slang_active,99.8955042527339,1.5214199120848768,823
12,literal_active,99.820170109356,2.140106280557922,823
13,l1_dist,94.8000478524339,29.78842785019777,823
13,l2_dist,9.244103658387612,2.6858785412465185,823
13,cosine_dist,0.3658246206230555,0.1257531526362706,823
13,slang_only_features,60.06075334143378,11.85918607876201,823
13,literal_only_features,60.01215066828676,11.91147371007078,823
13,shared_features,39.88699878493317,11.871757580587904,823
13,slang_active,99.94775212636696,1.200826639859429,823
13,literal_active,99.89914945321992,1.4425530074714168,823
14,l1_dist,100.877493583707,31.504714584122475,823
14,l2_dist,9.857604699175385,2.8302555589489597,823
14,cosine_dist,0.3165219006098055,0.118333238009686,823
14,slang_only_features,59.08019441069259,12.02481775344295,823
14,literal_only_features,59.025516403402186,12.06777459451695,823
14,shared_features,40.86269744835966,12.040307194628644,823
14,slang_active,99.94289185905224,1.334792804731099,823
14,literal_active,99.88821385176183,1.5169018092349869,823
15,l1_dist,103.63333400341604,32.600780051577615,823
15,l2_dist,10.083250932820947,2.935924032399161,823
15,cosine_dist,0.327548527422464,0.1208435750992005,823
15,slang_only_features,59.24787363304982,11.84937021355597,823
15,literal_only_features,59.21628189550425,11.855319687285034,823
15,shared_features,40.71688942891859,11.860931468738936,823
15,slang_active,99.9647630619684,0.8762965598185342,823
15,literal_active,99.93317132442284,1.078523597552614,823
16,l1_dist,111.28494287956671,34.82603305102584,823
16,l2_dist,10.83928100944,3.1331275571920743,823
16,cosine_dist,0.3154065421763196,0.1160235157080787,823
16,slang_only_features,59.047387606318345,11.888973616819325,823
16,literal_only_features,59.05224787363305,11.893653583092016,823
16,shared_features,40.90643985419198,11.906061837044382,823
16,slang_active,99.95382746051033,1.1924455626169483,823
16,literal_active,99.95868772782504,0.7657582133067335,823
17,l1_dist,127.52908864027096,38.66925533748674,823
17,l2_dist,12.506280426556112,3.440268399499259,823
17,cosine_dist,0.3321707587449258,0.1144412827477787,823
17,slang_only_features,59.19198055893074,12.155416569186778,823
17,literal_only_features,59.16524908869988,12.146609771770695,823
17,shared_features,40.78857837181045,12.16788258115365,823
17,slang_active,99.9805589307412,0.5573859999740053,823
17,literal_active,99.95382746051033,0.9471101043791064,823
18,l1_dist,180.9383192189844,54.04047738044264,823
18,l2_dist,18.32522779478627,5.059808497559458,823
18,cosine_dist,0.3936067418730563,0.1229079519390516,823
18,slang_only_features,60.25151883353585,11.671325924994903,823
18,literal_only_features,60.25151883353585,11.671325924994903,823
18,shared_features,39.74848116646415,11.671325924994903,823
18,slang_active,100.0,0.0,823
18,literal_active,100.0,0.0,823
19,l1_dist,214.4155378492316,63.35778469905653,823
19,l2_dist,22.06923008486538,6.066320311489235,823
19,cosine_dist,0.407157788861131,0.1211167414488607,823
19,slang_only_features,61.2685297691373,11.966013786168151,823
19,literal_only_features,61.2685297691373,11.966013786168151,823
19,shared_features,38.7314702308627,11.966013786168151,823
19,slang_active,100.0,0.0,823
19,literal_active,100.0,0.0,823
20,l1_dist,248.64894720010307,75.20781441671177,823
20,l2_dist,26.230196188026326,7.625309440558583,823
20,cosine_dist,0.4449538600745352,0.1320746904643382,823
20,slang_only_features,60.50911300121507,12.23939428077453,823
20,literal_only_features,60.47995139732685,12.223884513935472,823
20,shared_features,39.49088699878493,12.23939428077453,823
20,slang_active,100.0,0.0,823
20,literal_active,99.9708383961118,0.836078999961008,823
21,l1_dist,299.60070516648875,86.20225045149475,823
21,l2_dist,31.791898044317342,8.807849445149863,823
