layer,metric,mean,std,n
0,l1_dist,5.224132694631815,4.900422974994049,1000
0,l2_dist,0.7728312265276909,0.6552154128068068,1000
0,cosine_dist,0.15644258166849614,0.19783470997203856,1000
0,slang_only_features,37.755,19.61369355832807,1000
0,literal_only_features,38.465,19.50273762834336,1000
0,shared_features,47.474,13.426664664018388,1000
0,slang_active,85.229,16.882848071341517,1000
0,literal_active,85.939,16.530616413189193,1000
1,l1_dist,7.9717636171579365,6.7791721794249655,1000
1,l2_dist,1.103773361876607,0.862554505554058,1000
1,cosine_dist,0.30092774774506686,0.22357782186168795,1000
1,slang_only_features,44.436,20.801584170442403,1000
1,literal_only_features,44.746,20.737779148211605,1000
1,shared_features,40.799,15.194953076597505,1000
1,slang_active,85.235,19.30610719435692,1000
1,literal_active,85.545,19.420864424633624,1000
2,l1_dist,11.586616125822067,8.881016826680941,1000
2,l2_dist,1.765751402914524,1.4598718530940702,1000
2,cosine_dist,0.2538435609601438,0.2141986963862285,1000
2,slang_only_features,45.395,18.2257777611821,1000
2,literal_only_features,45.345,18.106407015197686,1000
2,shared_features,44.665,15.156674272412138,1000
2,slang_active,90.06,16.592540492643074,1000
2,literal_active,90.01,16.632375055896258,1000
3,l1_dist,15.581396831989288,11.913034771810802,1000
3,l2_dist,2.1200208681225776,1.5215022409429888,1000
3,cosine_dist,0.2739339936897159,0.20848616260827144,1000
3,slang_only_features,46.978,18.50079771253121,1000
3,literal_only_features,46.9,18.717905865774622,1000
3,shared_features,43.902,15.808238232010549,1000
3,slang_active,90.88,16.435437323052888,1000
3,literal_active,90.802,16.53247700739366,1000
4,l1_dist,19.928638976931573,14.607170664922013,1000
4,l2_dist,2.445438650429249,1.68942794585463,1000
4,cosine_dist,0.2902372835688293,0.20099953008839064,1000
4,slang_only_features,50.467,17.78816772464213,1000
4,literal_only_features,50.337,17.867104717888683,1000
4,shared_features,43.126,16.49066778514442,1000
4,slang_active,93.593,14.021032451285462,1000
4,literal_active,93.463,14.31951923075632,1000
5,l1_dist,25.19508335971832,18.000080436165067,1000
5,l2_dist,2.8956262309253216,1.9287132731167596,1000
5,cosine_dist,0.2995357403308153,0.19633190093764427,1000
5,slang_only_features,51.697,17.08324298837899,1000
5,literal_only_features,51.661,17.13639632478194,1000
5,shared_features,43.294,15.893695731326934,1000
5,slang_active,94.991,12.26038005120559,1000
5,literal_active,94.955,12.722302268064533,1000
6,l1_dist,36.539976691484455,25.37114436000316,1000
6,l2_dist,4.568003749668598,3.551616200394938,1000
6,cosine_dist,0.19199922646582127,0.16698006361637632,1000
6,slang_only_features,47.728,16.82789398587952,1000
6,literal_only_features,47.794,17.129669115309845,1000
6,shared_features,45.482,16.77592548862804,1000
6,slang_active,93.21,15.596534871566826,1000
6,literal_active,93.276,15.590440147731558,1000
7,l1_dist,38.93933379125595,25.694566534399826,1000
7,l2_dist,4.56455805516243,3.004795863545165,1000
7,cosine_dist,0.2520664301663637,0.18092106665616883,1000
7,slang_only_features,49.645,16.47522306374029,1000
7,literal_only_features,49.374,16.41852989764918,1000
7,shared_features,46.107,16.570079993771905,1000
7,slang_active,95.752,11.627918816366066,1000
7,literal_active,95.481,11.936399750343485,1000
8,l1_dist,42.71433264875412,27.485080562487102,1000
8,l2_dist,4.966530687510967,3.206344475304429,1000
8,cosine_dist,0.2527630617953837,0.18117480696374433,1000
8,slang_only_features,49.404,16.182545658826363,1000
8,literal_only_features,49.32,16.30980073452769,1000
8,shared_features,46.733,16.411755268709072,1000
8,slang_active,96.137,10.935183171762601,1000
8,literal_active,96.053,11.024980317442749,1000
9,l1_dist,45.95700648832321,29.026373917726435,1000
9,l2_dist,5.195495275497437,3.222930446416906,1000
9,cosine_dist,0.251044493868947,0.17449238707913153,1000
9,slang_only_features,49.086,16.106911684118717,1000
9,literal_only_features,49.132,15.993891834072157,1000
9,shared_features,47.429,16.2472446587106,1000
9,slang_active,96.515,10.207633173267936,1000
9,literal_active,96.561,9.93782063633672,1000
10,l1_dist,50.19495899963379,32.27335970846575,1000
10,l2_dist,5.793975734114647,3.963464901460587,1000
10,cosine_dist,0.22306314542230393,0.1759401455068135,1000
10,slang_only_features,48.313,16.06757701086259,1000
10,literal_only_features,48.316,16.133943845197926,1000
10,shared_features,47.523,16.449482393072437,1000
10,slang_active,95.836,11.448279521395344,1000
10,literal_active,95.839,11.256068541013775,1000
11,l1_dist,50.94358967256546,32.563351765873136,1000
11,l2_dist,5.937904510974884,4.159342888389531,1000
11,cosine_dist,0.21612948350360967,0.17582072340028806,1000
11,slang_only_features,49.324,15.935401595190502,1000
11,literal_only_features,48.984,16.15127685354938,1000
11,shared_features,46.953,16.285907742585305,1000
11,slang_active,96.277,10.650270935520842,1000
11,literal_active,95.937,11.264148037024373,1000
12,l1_dist,52.965685925483704,33.81019959293264,1000
12,l2_dist,6.063522931933403,4.033341799644692,1000
12,cosine_dist,0.22004508511070162,0.17001484599411357,1000
12,slang_only_features,49.168,16.272300882173976,1000
12,literal_only_features,49.008,16.4056678010985,1000
12,shared_features,46.667,16.56412119612749,1000
12,slang_active,95.835,11.728673198618843,1000
12,literal_active,95.675,11.901066128713007,1000
13,l1_dist,56.954544310569766,35.48541348081114,1000
13,l2_dist,6.342453099489212,4.008271094194139,1000
13,cosine_dist,0.22359223513491452,0.1653123443552234,1000
13,slang_only_features,49.694,15.48355140140659,1000
13,literal_only_features,49.316,15.549023892193361,1000
13,shared_features,47.168,15.790813025300501,1000
13,slang_active,96.862,9.681061718633964,1000
13,literal_active,96.484,10.2466454998697,1000
14,l1_dist,60.482309566497804,38.080003709668716,1000
14,l2_dist,6.698413472533226,4.213438116448688,1000
14,cosine_dist,0.2068917205245234,0.16039436701692567,1000
14,slang_only_features,49.718,15.622627051811742,1000
14,literal_only_features,49.245,15.787620941737867,1000
14,shared_features,46.676,15.905817300597917,1000
14,slang_active,96.394,10.696390232223205,1000
14,literal_active,95.921,11.473132048398991,1000
15,l1_dist,63.05168470001221,39.40386032700883,1000
15,l2_dist,6.936416241049766,4.319566250983342,1000
15,cosine_dist,0.19927798601239918,0.154202493930224,1000
15,slang_only_features,50.894,15.458161727708765,1000
15,literal_only_features,50.514,15.686229757338122,1000
15,shared_features,46.694,15.742755921375393,1000
15,slang_active,97.588,8.659575971143159,1000
15,literal_active,97.208,9.340382005035982,1000
16,l1_dist,68.3658879184723,42.45446313482556,1000
16,l2_dist,7.534468664050102,4.663469848904811,1000
16,cosine_dist,0.1920866236910224,0.14815783971855653,1000
16,slang_only_features,51.093,15.394036215366002,1000
16,literal_only_features,50.659,15.555600888426007,1000
16,shared_features,46.959,15.408352248050406,1000
16,slang_active,98.052,7.637754643872765,1000
16,literal_active,97.618,8.174844096372725,1000
17,l1_dist,76.0617337360382,46.66939024890808,1000
17,l2_dist,8.326662454843522,5.053310053390106,1000
17,cosine_dist,0.19139039877057076,0.1457238511000584,1000
17,slang_only_features,50.752,15.477741954174064,1000
17,literal_only_features,50.357,15.539226203386061,1000
17,shared_features,47.509,15.665947753008753,1000
17,slang_active,98.261,6.963826462513263,1000
17,literal_active,97.866,7.800002820512311,1000
18,l1_dist,102.80311058616638,62.40356174251234,1000
18,l2_dist,11.526623494386673,7.034978805015209,1000
18,cosine_dist,0.2431071737483144,0.17105415175768568,1000
18,slang_only_features,49.504,15.451277746516629,1000
18,literal_only_features,49.169,15.419352742576454,1000
18,shared_features,49.468,15.667130432852087,1000
18,slang_active,98.972,4.845329297374946,1000
18,literal_active,98.637,5.625764925767873,1000
19,l1_dist,120.1010393562317,72.78545369820499,1000
19,l2_dist,13.15170182967186,7.438051217629146,1000
19,cosine_dist,0.21678214242309332,0.15512974076179759,1000
19,slang_only_features,49.146,15.389564126381227,1000
19,literal_only_features,48.73,15.306178491053865,1000
19,shared_features,49.899,15.541454211237763,1000
19,slang_active,99.045,4.832077710467828,1000
19,literal_active,98.629,5.74624738416299,1000
20,l1_dist,142.28286830902098,83.72884668794894,1000
20,l2_dist,15.77115714097023,8.621910518358403,1000
20,cosine_dist,0.23909288450330496,0.15980098437602142,1000
20,slang_only_features,48.309,15.700239456772627,1000
