layer,metric,mean,std,n
0,l1_dist,4.213524779736996,2.255270254356548,1000
0,l2_dist,0.6699277756065131,0.3155046139420142,1000
0,cosine_dist,0.1067312344014644,0.1195041365547627,1000
0,slang_only_features,61.043,12.313697698092154,1000
0,literal_only_features,33.281,14.66683466191666,1000
0,shared_features,33.235,6.635041446743193,1000
0,slang_active,94.278,9.07461933085901,1000
0,literal_active,66.516,15.483143866799146,1000
1,l1_dist,9.221610546946524,4.105356988555823,1000
1,l2_dist,1.266814217686653,0.4661642771749061,1000
1,cosine_dist,0.3994315028786659,0.1699751353475536,1000
1,slang_only_features,77.107,11.62108217852365,1000
1,literal_only_features,43.84,19.25830729841021,1000
1,shared_features,20.931,8.233725705900094,1000
1,slang_active,98.038,6.675219546951245,1000
1,literal_active,64.771,20.489132704924334,1000
2,l1_dist,15.696741998672485,6.24555247274052,1000
2,l2_dist,2.2129099965691568,0.739526602354458,1000
2,cosine_dist,0.3679949426054955,0.1329759958469192,1000
2,slang_only_features,76.546,9.77936010176535,1000
2,literal_only_features,55.241,18.270985715062007,1000
2,shared_features,22.912,8.699095125356429,1000
2,slang_active,99.458,3.2781452072780426,1000
2,literal_active,78.153,18.779925212843636,1000
3,l1_dist,19.11958678817749,7.469936636664031,1000
3,l2_dist,2.581548430621624,0.8932621546839551,1000
3,cosine_dist,0.3793694226443767,0.1228121265129595,1000
3,slang_only_features,80.592,9.44084403006426,1000
3,literal_only_features,56.014,19.31506676146888,1000
3,shared_features,18.859,8.159112635575024,1000
3,slang_active,99.451,3.708584500857436,1000
3,literal_active,74.873,20.80179970579469,1000
4,l1_dist,25.286012480735774,8.83351703061819,1000
4,l2_dist,3.062681505799293,0.9733087949751568,1000
4,cosine_dist,0.4506990499198436,0.1272620862988695,1000
4,slang_only_features,80.857,9.012910240316389,1000
4,literal_only_features,62.842,17.330350140721336,1000
4,shared_features,19.05,8.780062642145555,1000
4,slang_active,99.907,1.618131947648275,1000
4,literal_active,81.892,18.450212356501485,1000
5,l1_dist,33.100440715789794,10.849561552704788,1000
5,l2_dist,3.606067064404488,1.0958011825833598,1000
5,cosine_dist,0.5095009138584137,0.1134244649083417,1000
5,slang_only_features,80.441,8.855423140652286,1000
5,literal_only_features,67.666,16.066313951868363,1000
5,shared_features,19.51,8.715268211592802,1000
5,slang_active,99.951,1.121872987463376,1000
5,literal_active,87.176,17.072405337268677,1000
6,l1_dist,54.43044782447815,14.523574658722277,1000
6,l2_dist,5.782501523971558,1.4865992166083963,1000
6,cosine_dist,0.3093307575583457,0.0995641925340883,1000
6,slang_only_features,76.404,9.216983454471425,1000
6,literal_only_features,72.655,10.5065681837601,1000
6,shared_features,23.53,9.04749136501384,1000
6,slang_active,99.934,1.0907080269256295,1000
6,literal_active,96.185,8.54931429998921,1000
7,l1_dist,55.92313737869263,14.8521151433634,1000
7,l2_dist,6.020092101216316,1.5039882982429769,1000
7,cosine_dist,0.3562717987298965,0.1007033028485067,1000
7,slang_only_features,77.121,9.060814477738743,1000
7,literal_only_features,73.607,10.517915715577873,1000
7,shared_features,22.839,8.965772638205813,1000
7,slang_active,99.96,0.8946507698538017,1000
7,literal_active,96.446,8.205430153258268,1000
8,l1_dist,62.59172504425049,15.12442092534678,1000
8,l2_dist,6.541265862226486,1.5299683649255007,1000
